source_plate,destination_plate,source_well,destination_well,volume_nL
color_plate,art_plate,A1,A9,500
color_plate,art_plate,A1,A11,500
color_plate,art_plate,A1,A13,500
color_plate,art_plate,A1,A15,500
color_plate,art_plate,A1,A17,500
color_plate,art_plate,A1,A19,500
color_plate,art_plate,A1,A21,500
color_plate,art_plate,A1,A23,500
color_plate,art_plate,A1,A25,500
color_plate,art_plate,A1,A27,500
color_plate,art_plate,A1,A29,500
color_plate,art_plate,A1,A31,500
color_plate,art_plate,A1,A33,500
color_plate,art_plate,A1,A35,500
color_plate,art_plate,A1,A37,500
color_plate,art_plate,A1,A39,500
color_plate,art_plate,A1,B9,500
color_plate,art_plate,A1,B10,500
color_plate,art_plate,A1,B13,500
color_plate,art_plate,A1,B15,500
color_plate,art_plate,A1,B16,500
color_plate,art_plate,A1,B17,500
color_plate,art_plate,A1,B19,500
color_plate,art_plate,A1,B23,500
color_plate,art_plate,A1,B24,500
color_plate,art_plate,A1,B25,500
color_plate,art_plate,A1,B26,500
color_plate,art_plate,A1,B27,500
color_plate,art_plate,A1,B29,500
color_plate,art_plate,A1,B35,500
color_plate,art_plate,A1,B37,500
color_plate,art_plate,A1,B38,500
color_plate,art_plate,A1,B39,500
color_plate,art_plate,A1,B40,500
color_plate,art_plate,A1,C9,500
color_plate,art_plate,A1,C12,500
color_plate,art_plate,A1,C14,500
color_plate,art_plate,A1,C16,500
color_plate,art_plate,A1,C20,500
color_plate,art_plate,A1,C25,500
color_plate,art_plate,A1,C27,500
color_plate,art_plate,A1,C29,500
color_plate,art_plate,A1,C30,500
color_plate,art_plate,A1,D9,500
color_plate,art_plate,A1,D17,500
color_plate,art_plate,A1,D18,500
color_plate,art_plate,A1,D19,500
color_plate,art_plate,A1,D20,500
color_plate,art_plate,A1,D21,500
color_plate,art_plate,A1,D23,500
color_plate,art_plate,A1,D24,500
color_plate,art_plate,A1,D25,500
color_plate,art_plate,A1,D26,500
color_plate,art_plate,A1,D27,500
color_plate,art_plate,A1,D29,500
color_plate,art_plate,A1,D32,500
color_plate,art_plate,A1,D33,500
color_plate,art_plate,A1,D34,500
color_plate,art_plate,A1,D38,500
color_plate,art_plate,A1,D40,500
color_plate,art_plate,A1,E9,500
color_plate,art_plate,A1,E10,500
