source_plate,destination_plate,source_well,destination_well,volume_nL
color_plate,art_plate,A1,A2,350
color_plate,art_plate,A1,A3,350
color_plate,art_plate,A1,A4,350
color_plate,art_plate,A1,A13,350
color_plate,art_plate,A1,A15,350
color_plate,art_plate,A1,A17,350
color_plate,art_plate,A1,A19,350
color_plate,art_plate,A1,A21,350
color_plate,art_plate,A1,A23,350
color_plate,art_plate,A1,A25,350
color_plate,art_plate,A1,A27,350
color_plate,art_plate,A1,A29,350
color_plate,art_plate,A1,A31,350
color_plate,art_plate,A1,A33,350
color_plate,art_plate,A1,A35,350
color_plate,art_plate,A1,A37,350
color_plate,art_plate,A1,A39,350
color_plate,art_plate,A1,A41,350
color_plate,art_plate,A1,A43,350
color_plate,art_plate,A1,B1,350
color_plate,art_plate,A1,B13,350
color_plate,art_plate,A1,B14,350
color_plate,art_plate,A1,B17,350
color_plate,art_plate,A1,B19,350
color_plate,art_plate,A1,B20,350
color_plate,art_plate,A1,B21,350
color_plate,art_plate,A1,B23,350
color_plate,art_plate,A1,B27,350
color_plate,art_plate,A1,B28,350
color_plate,art_plate,A1,B29,350
color_plate,art_plate,A1,B30,350
color_plate,art_plate,A1,B31,350
color_plate,art_plate,A1,B33,350
color_plate,art_plate,A1,B39,350
color_plate,art_plate,A1,B41,350
color_plate,art_plate,A1,B42,350
color_plate,art_plate,A1,B43,350
color_plate,art_plate,A1,B44,350
color_plate,art_plate,A1,C2,350
color_plate,art_plate,A1,C3,350
color_plate,art_plate,A1,C13,350
color_plate,art_plate,A1,C16,350
color_plate,art_plate,A1,C18,350
color_plate,art_plate,A1,C20,350
color_plate,art_plate,A1,C24,350
color_plate,art_plate,A1,C29,350
color_plate,art_plate,A1,C31,350
color_plate,art_plate,A1,C33,350
color_plate,art_plate,A1,C34,350
color_plate,art_plate,A1,D4,350
color_plate,art_plate,A1,D13,350
color_plate,art_plate,A1,D21,350
color_plate,art_plate,A1,D22,350
color_plate,art_plate,A1,D23,350
color_plate,art_plate,A1,D24,350
color_plate,art_plate,A1,D25,350
color_plate,art_plate,A1,D27,350
color_plate,art_plate,A1,D28,350
