source_plate,destination_plate,source_well,destination_well,volume_nL
color_plate,art_plate,A1,A2,500
color_plate,art_plate,A1,A3,500
color_plate,art_plate,A1,A4,500
color_plate,art_plate,A1,A13,500
color_plate,art_plate,A1,A15,500
color_plate,art_plate,A1,A17,500
color_plate,art_plate,A1,A19,500
color_plate,art_plate,A1,A21,500
color_plate,art_plate,A1,A23,500
color_plate,art_plate,A1,A25,500
color_plate,art_plate,A1,A27,500
color_plate,art_plate,A1,A29,500
color_plate,art_plate,A1,A31,500
color_plate,art_plate,A1,A33,500
color_plate,art_plate,A1,A35,500
color_plate,art_plate,A1,A37,500
color_plate,art_plate,A1,A39,500
color_plate,art_plate,A1,A41,500
color_plate,art_plate,A1,A43,500
color_plate,art_plate,A1,B1,500
color_plate,art_plate,A1,B13,500
color_plate,art_plate,A1,B14,500
color_plate,art_plate,A1,B17,500
color_plate,art_plate,A1,B19,500
color_plate,art_plate,A1,B20,500
color_plate,art_plate,A1,B21,500
color_plate,art_plate,A1,B23,500
color_plate,art_plate,A1,B27,500
color_plate,art_plate,A1,B28,500
color_plate,art_plate,A1,B29,500
color_plate,art_plate,A1,B30,500
color_plate,art_plate,A1,B31,500
color_plate,art_plate,A1,B33,500
color_plate,art_plate,A1,B39,500
color_plate,art_plate,A1,B41,500
color_plate,art_plate,A1,B42,500
color_plate,art_plate,A1,B43,500
color_plate,art_plate,A1,B44,500
color_plate,art_plate,A1,C2,500
color_plate,art_plate,A1,C3,500
color_plate,art_plate,A1,C13,500
color_plate,art_plate,A1,C16,500
color_plate,art_plate,A1,C18,500
color_plate,art_plate,A1,C20,500
color_plate,art_plate,A1,C24,500
color_plate,art_plate,A1,C29,500
color_plate,art_plate,A1,C31,500
color_plate,art_plate,A1,C33,500
color_plate,art_plate,A1,C34,500
color_plate,art_plate,A1,D4,500
color_plate,art_plate,A1,D13,500
color_plate,art_plate,A1,D21,500
color_plate,art_plate,A1,D22,500
color_plate,art_plate,A1,D23,500
color_plate,art_plate,A1,D24,500
color_plate,art_plate,A1,D25,500
color_plate,art_plate,A1,D27,500
color_plate,art_plate,A1,D28,500
color_plate,art_plate,A1,D29,500
color_plate,art_plate,A1,D30,500
color_plate,art_plate,A1,D31,500
color_plate,art_plate,A1,D33,500
color_plate,art_plate,A1,D36,500
color_plate,art_plate,A1,D37,500
color_plate,art_plate,A1,D38,500
color_plate,art_plate,A1,D42,500
color_plate,art_plate,A1,D44,500
color_plate,art_plate,A1,E1,500
color_plate,art_plate,A1,E2,500
color_plate,art_plate,A1,E3,500
color_plate,art_plate,A1,E13,500
color_plate,art_plate,A1,E14,500
color_plate,art_plate,A1,E16,500
color_plate,art_plate,A1,E18,500
color_plate,art_plate,A1,E21,500
color_plate,art_plate,A1,E25,500
color_plate,art_plate,A1,E29,500
color_plate,art_plate,A1,E33,500
color_plate,art_plate,A1,E35,500
color_plate,art_plate,A1,E36,500
color_plate,art_plate,A1,E37,500
color_plate,art_plate,A1,E38,500
color_plate,art_plate,A1,E40,500
color_plate,art_plate,A1,E41,500
color_plate,art_plate,A1,E42,500
color_plate,art_plate,A1,E43,500
color_plate,art_plate,A1,F13,500
color_plate,art_plate,A1,F14,500
color_plate,art_plate,A1,F16,500
color_plate,art_plate,A1,F17,500
color_plate,art_plate,A1,F18,500
color_plate,art_plate,A1,F20,500
color_plate,art_plate,A1,F22,500
color_plate,art_plate,A1,F23,500
color_plate,art_plate,A1,F25,500
color_plate,art_plate,A1,F28,500
color_plate,art_plate,A1,F29,500
color_plate,art_plate,A1,F31,500
color_plate,art_plate,A1,F32,500
color_plate,art_plate,A1,F33,500
color_plate,art_plate,A1,F34,500
color_plate,art_plate,A1,F39,500
color_plate,art_plate,A1,F42,500
color_plate,art_plate,A1,F44,500
color_plate,art_plate,A1,G2,500
color_plate,art_plate,A1,G3,500
color_plate,art_plate,A1,G13,500
color_plate,art_plate,A1,G14,500
color_plate,art_plate,A1,G15,500
color_plate,art_plate,A1,G17,500
color_plate,art_plate,A1,G18,500
color_plate,art_plate,A1,G20,500
color_plate,art_plate,A1,G24,500
color_plate,art_plate,A1,G25,500
color_plate,art_plate,A1,G26,500
